"","Country.Code","percountry_indicators"
"1","ABW",657
"2","AFG",1291
"3","AGO",1384
"4","ALB",1431
"5","AND",569
"6","ARE",1094
"7","ARG",1343
"8","ARM",1421
"9","ASM",388
"10","ATG",877
"11","AUS",1131
"12","AUT",1146
"13","AZE",1418
"14","BDI",1339
"15","BEL",1168
"16","BEN",1366
"17","BFA",1379
"18","BGD",1446
"19","BGR",1314
"20","BHR",1111
"21","BHS",1038
"22","BIH",1320
"23","BLR",1349
"24","BLZ",1298
"25","BMU",697
"26","BOL",1401
"27","BRA",1390
"28","BRB",1105
"29","BRN",1063
"30","BTN",1297
"31","BWA",1348
"32","CAF",1238
"33","CAN",1139
"34","CHE",1130
"35","CHI",213
"36","CHL",1311
"37","CHN",1273
"38","CIV",1415
"39","CMR",1424
"40","COD",1405
"41","COG",1388
"42","COL",1431
"43","COM",1204
"44","CPV",1263
"45","CRI",1410
"46","CUB",983
"47","CUW",532
"48","CYM",613
"49","CYP",1214
"50","CZE",1222
"51","DEU",1169
"52","DJI",1218
"53","DMA",964
"54","DNK",1164
"55","DOM",1400
"56","DZA",1287
"57","ECU",1399
"58","EGY",1412
"59","ERI",1062
"60","ESP",1183
"61","EST",1216
"62","ETH",1416
"63","FIN",1152
"64","FJI",1270
"65","FRA",1153
"66","FRO",375
"67","FSM",925
"68","GAB",1278
"69","GBR",1150
"70","GEO",1405
"71","GHA",1443
"72","GIB",319
"73","GIN",1359
"74","GMB",1376
"75","GNB",1267
"76","GNQ",1009
"77","GRC",1182
"78","GRD",1006
"79","GRL",431
"80","GTM",1397
"81","GUM",406
"82","GUY",1211
"83","HKG",954
"84","HND",1435
"85","HRV",1260
"86","HTI",1261
"87","HUN",1248
"88","IDN",1434
"89","IMN",226
"90","IND",1431
"91","IRL",1145
"92","IRN",1297
"93","IRQ",1338
"94","ISL",1121
"95","ISR",1200
"96","ITA",1174
"97","JAM",1338
"98","JOR",1381
"99","JPN",1102
"100","KAZ",1356
"101","KEN",1430
"102","KGZ",1410
"103","KHM",1378
"104","KIR",954
"105","KNA",896
"106","KOR",1215
"107","KWT",1143
"108","LAO",1364
"109","LBN",1278
"110","LBR",1250
"111","LBY",1036
"112","LCA",1136
"113","LIE",438
"114","LKA",1418
"115","LSO",1351
"116","LTU",1253
"117","LUX",1147
"118","LVA",1256
"119","MAC",863
"120","MAF",135
"121","MAR",1363
"122","MCO",425
"123","MDA",1424
"124","MDG",1387
"125","MDV",1196
"126","MEX",1416
"127","MHL",971
"128","MKD",1328
"129","MLI",1376
"130","MLT",1178
"131","MMR",1294
"132","MNE",1230
"133","MNG",1412
"134","MNP",257
"135","MOZ",1385
"136","MRT",1294
"137","MUS",1306
"138","MWI",1286
"139","MYS",1304
"140","NAM",1353
"141","NCL",607
"142","NER",1392
"143","NGA",1288
"144","NIC",1396
"145","NLD",1169
"146","NOR",1147
"147","NPL",1401
"148","NRU",727
"149","NZL",1118
"150","OMN",1150
"151","PAK",1433
"152","PAN",1376
"153","PER",1400
"154","PHL",1417
"155","PLW",883
"156","PNG",1280
"157","POL",1273
"158","PRI",666
"159","PRK",595
"160","PRT",1222
"161","PRY",1385
"162","PSE",1116
"163","PYF",587
"164","QAT",1092
"165","ROU",1355
"166","RUS",1297
"167","RWA",1402
"168","SAU",1183
"169","SDN",1327
"170","SEN",1436
"171","SGP",1151
"172","SLB",1225
"173","SLE",1339
"174","SLV",1405
"175","SMR",695
"176","SOM",1016
"177","SRB",1395
"178","SSD",1101
"179","STP",1113
"180","SUR",1138
"181","SVK",1223
"182","SVN",1190
"183","SWE",1164
"184","SWZ",1336
"185","SXM",355
"186","SYC",1091
"187","SYR",1193
"188","TCA",520
"189","TCD",1295
"190","TGO",1398
"191","THA",1386
"192","TJK",1377
"193","TKM",915
"194","TLS",1271
"195","TON",1203
"196","TTO",1183
"197","TUN",1376
"198","TUR",1370
"199","TUV",777
"200","TZA",1427
"201","UGA",1394
"202","UKR",1389
"203","URY",1331
"204","USA",1166
"205","UZB",1342
"206","VCT",1043
"207","VEN",1202
"208","VGB",358
"209","VIR",394
"210","VNM",1343
"211","VUT",1227
"212","WSM",1218
"213","XKX",770
"214","YEM",1288
"215","ZAF",1403
"216","ZMB",1384
"217","ZWE",1403
